title,wikidata,author,language,country,published,pages,publisher,editor,isbn13,isbn10,oclc
Blodeugerdd Barddas o Farddoniaeth Gyfoes,Q20583396,,Q9309,Q25,2005-09-06,384,,Q18535467,978-1-900437-75-2,,
Cerddi Bryan Martin Davies,Q20591826,Q13126322,Q9309,Q25,2003-07-01,228,,,978-1-900437-57-8,,
Dal Diferion,Q20589049,,Q9309,Q25,1999-07-01,78,,,978-1-900437-30-1,,
"Ffansi'r Funud, Ffansi Oes",Q20595316,,Q9309,Q25,1999-07-01,76,,,978-1-900437-31-8,,
Golchi Llestri Mewn Bar Mitzvah,Q20597995,Q14646659,Q9309,Q25,1998-11-26,127,,,978-0-86381-534-8,,
Holl Stwff Geraint Lovgreen,Q20589755,Q5548820,Q9309,Q25,1997-11-14,210,,,978-0-86381-463-1,,
Awen Anhygoel Arwel,Q20579859,,Q9309,Q25,2007-04-11,88,,Q18535590,978-1-84527-150-3,,
Englynion dan Bwysau,Q20593278,,Q9309,Q25,2005-07-27,64,,Q13128260,978-0-86381-997-1,,
Be 'Di Blwyddyn Rhwng Ffrindia?,Q20580600,Q13129292,Q9309,Q25,2003-03-20,196,,,978-0-948469-99-2,,
"Blodau Gwanwyn, Blodau Gwyn",Q20583296,Q14508658,Q9309,Q25,2012-11-14,208,,,978-1-84527-379-8,,
Bore Newydd,Q20583646,Q14508658,Q9309,Q25,2008-09-24,98,,,978-1-84527-188-6,,
Cadw Golwg,Q20561884,Q2537433,Q9309,Q25,2005-11-28,95,,,978-0-86074-224-1,,
Cerddi Caerdydd,Q20591839,,Q9309,Q25,2004-07-29,124,,,978-1-84323-410-4,,
Cerddi Jac Glan-y-Gors,Q20592006,,Q9309,Q25,2003-07-31,148,,,978-1-900437-63-9,,
Diwrnod i'r Brenin,Q20590886,Q13129316,Q9309,Q25,2002-07-01,64,,,978-1-900437-47-9,,
Eldorado (llyfr),Q20593472,,Q9309,Q25,1999-09-01,109,,,978-0-86381-589-8,,
